PRICE,BEDROOMS,BATHROOMS,FLOORS,INSTALLMENT_YEARS,HAS_INSTALLMENT,REAL_ESTATE_COMPANY,SIZE(SQM),AMENITIES_نادي صحي مشترك,AMENITIES_حارس أمن,AMENITIES_صالة رياضة مشتركة,AMENITIES_حديقة خاصة,AMENITIES_موقف مغطى,AMENITIES_غرفة خادمة,AMENITIES_مسبح خاص,AMENITIES_مطل على بحيرات,AMENITIES_COUNT,LATITUDE,LONGITUDE,PROPERTY_TYPE
10866612.0,4,4,-1.0,0.0,0,سراي,212,0,1,0,1,0,1,0,0,4,30.09417724609375,31.70400047302246,فيلا
5400000.0,4,4,-1.0,0.0,0,سراي,260,0,1,0,1,0,1,0,0,4,30.09417724609375,31.70400047302246,فيلا
3800000.0,2,3,3.0,0.0,0,سراي,122,0,1,0,0,0,0,0,0,2,30.09417724609375,31.70400047302246,شقة
4800000.0,3,3,3.0,0.0,0,سراي,172,0,1,0,0,0,0,0,0,2,30.09417724609375,31.70400047302246,شقة
8500000.0,5,5,-1.0,12.0,1,سراي,248,1,1,1,1,1,0,0,0,7,30.09417724609375,31.70400047302246,فيلا
5200000.0,3,3,1.0,0.0,0,سراي,153,0,1,0,0,0,0,0,0,2,30.09417724609375,31.70400047302246,شقة
15000000.0,4,3,-1.0,8.0,1,سراي,212,1,1,1,0,0,0,0,0,5,30.09417724609375,31.70400047302246,دوبلكس
14500000.0,5,5,-1.0,0.0,0,سراي,240,1,1,1,1,1,0,0,0,7,30.09417724609375,31.70400047302246,فيلا
4500000.0,3,3,4.0,0.0,0,سراي,153,0,1,0,0,0,0,0,0,2,30.09417724609375,31.70400047302246,شقة
13500000.0,4,4,-1.0,0.0,0,جرين سكوير,250,1,1,1,1,0,0,0,1,7,30.046466827392575,31.63002014160156,تاون هاوس
14000000.0,4,4,-1.0,8.0,1,سراي,239,1,1,1,0,0,0,0,0,5,30.09417724609375,31.70400047302246,فيلا
7893037.0,2,2,1.0,0.0,0,هاب تاون,140,1,1,1,1,1,1,1,1,18,30.051855087280277,31.6932315826416,شقة
5280000.0,2,2,-1.0,6.0,1,مونتي نابوليوني,118,1,1,1,0,0,0,0,1,11,30.048423767089844,31.630369186401367,دوبلكس
6257950.0,3,2,2.0,0.0,0,سراي,147,0,1,0,0,1,1,0,0,10,30.09417724609375,31.70400047302246,شقة
17500000.0,4,4,-1.0,12.0,1,البوسكو سيتي,362,1,1,1,1,1,1,1,1,18,30.07013320922852,31.66701889038086,تاون هاوس
3500000.0,2,2,0.0,0.0,0,سراي,112,1,1,1,1,1,1,0,1,14,30.09417724609375,31.70400047302246,شقة
7200000.0,2,2,0.0,0.0,0,سراي,130,1,1,1,1,1,1,1,1,18,30.09417724609375,31.70400047302246,شقة
3600000.0,2,3,2.0,0.0,0,سراي,122,0,1,0,0,0,0,0,0,2,30.09417724609375,31.70400047302246,شقة
17500000.0,4,4,-1.0,12.0,1,البوسكو سيتي,355,1,1,1,1,1,1,1,1,18,30.07013320922852,31.66701889038086,تاون هاوس
20000000.0,3,3,-1.0,0.0,0,ماونتن فيو مدينة المستقبل,210,1,1,1,1,1,1,1,1,18,30.050914764404297,31.673290252685547,تاون هاوس
